Class,FPR_FalsePositiveRate,TPR_TruePositiveRate
MEL,0.0,0.0
MEL,0.0,0.0005115089514066496
MEL,0.0,0.006138107416879796
MEL,0.0,0.007161125319693095
MEL,0.0,0.02659846547314578
MEL,0.0,0.02762148337595908
MEL,0.0,0.03887468030690537
MEL,0.0001194885888397658,0.03887468030690537
MEL,0.0001194885888397658,0.043989769820971865
MEL,0.0002389771776795316,0.043989769820971865
MEL,0.0002389771776795316,0.09462915601023018
MEL,0.0002389771776795316,0.09565217391304348
MEL,0.0002389771776795316,0.1319693094629156
MEL,0.0002389771776795316,0.1329923273657289
MEL,0.0002389771776795316,0.1370843989769821
MEL,0.0003584657665192974,0.1370843989769821
MEL,0.0003584657665192974,0.14168797953964193
MEL,0.0004779543553590632,0.1421994884910486
MEL,0.0004779543553590632,0.1432225063938619
MEL,0.000597442944198829,0.1432225063938619
MEL,0.000597442944198829,0.1483375959079284
MEL,0.0007169315330385948,0.1483375959079284
MEL,0.0007169315330385948,0.16777493606138108
MEL,0.0007169315330385948,0.16879795396419436
MEL,0.0007169315330385948,0.16982097186700768
MEL,0.0008364201218783606,0.16982097186700768
MEL,0.0008364201218783606,0.18312020460358056
MEL,0.0009559087107181264,0.18312020460358056
MEL,0.0009559087107181264,0.18414322250639387
MEL,0.0010753972995578922,0.18414322250639387
MEL,0.0010753972995578922,0.18925831202046037
MEL,0.001194885888397658,0.18925831202046037
MEL,0.001194885888397658,0.1948849104859335
MEL,0.0013143744772374237,0.1948849104859335
MEL,0.0013143744772374237,0.1979539641943734
MEL,0.0014338630660771896,0.1979539641943734
MEL,0.0014338630660771896,0.20153452685421994
MEL,0.0015533516549169554,0.20153452685421994
MEL,0.0015533516549169554,0.20664961636828644
MEL,0.0016728402437567213,0.20664961636828644
MEL,0.0016728402437567213,0.23836317135549873
MEL,0.0017923288325964871,0.23836317135549873
MEL,0.0017923288325964871,0.24603580562659846
MEL,0.0019118174214362528,0.24603580562659846
MEL,0.0019118174214362528,0.25882352941176473
MEL,0.002031306010276019,0.25882352941176473
MEL,0.002031306010276019,0.26956521739130435
MEL,0.0021507945991157845,0.26956521739130435
MEL,0.0021507945991157845,0.270076726342711
MEL,0.00227028318795555,0.270076726342711
MEL,0.00227028318795555,0.27161125319693097
MEL,0.002389771776795316,0.27161125319693097
MEL,0.002389771776795316,0.27570332480818416
MEL,0.002509260365635082,0.27570332480818416
MEL,0.002509260365635082,0.29053708439897696
MEL,0.0026287489544748474,0.29053708439897696
MEL,0.0026287489544748474,0.29104859335038363
MEL,0.0027482375433146135,0.29104859335038363
MEL,0.0027482375433146135,0.30127877237851663
MEL,0.003106703309833911,0.30127877237851663
MEL,0.003106703309833911,0.3023017902813299
MEL,0.0032261918986736765,0.3023017902813299
MEL,0.0032261918986736765,0.3069053708439898
MEL,0.0033456804875134426,0.3069053708439898
MEL,0.0033456804875134426,0.30843989769820973
MEL,0.003465169076353208,0.30843989769820973
MEL,0.003465169076353208,0.3156010230179028
MEL,0.0035846576651929743,0.3156010230179028
MEL,0.0035846576651929743,0.319693094629156
MEL,0.00370414625403274,0.319693094629156
MEL,0.00370414625403274,0.3207161125319693
MEL,0.0038236348428725055,0.3207161125319693
MEL,0.0038236348428725055,0.3242966751918159
MEL,0.003943123431712272,0.3242966751918159
MEL,0.003943123431712272,0.32634271099744244
MEL,0.004062612020552038,0.32634271099744244
MEL,0.004062612020552038,0.3329923273657289
MEL,0.004182100609391803,0.3329923273657289
MEL,0.004182100609391803,0.3345268542199488
MEL,0.004301589198231569,0.3345268542199488
MEL,0.004421077787071335,0.3350383631713555
MEL,0.0045405663759111,0.3350383631713555
MEL,0.0045405663759111,0.33554987212276216
MEL,0.004660054964750866,0.33554987212276216
MEL,0.004660054964750866,0.3370843989769821
MEL,0.004779543553590632,0.3370843989769821
MEL,0.004779543553590632,0.3375959079283887
MEL,0.0048990321424303976,0.3375959079283887
MEL,0.0048990321424303976,0.3524296675191816
MEL,0.005018520731270164,0.3524296675191816
MEL,0.005018520731270164,0.35754475703324806
MEL,0.00513800932010993,0.35754475703324806
MEL,0.00513800932010993,0.36010230179028135
MEL,0.005257497908949695,0.36010230179028135
MEL,0.005257497908949695,0.36061381074168797
MEL,0.005496475086629227,0.36061381074168797
MEL,0.005496475086629227,0.36419437340153454
MEL,0.005615963675468993,0.36419437340153454
MEL,0.005615963675468993,0.3652173913043478
MEL,0.005735452264308758,0.3652173913043478
MEL,0.005735452264308758,0.3662404092071611
MEL,0.005854940853148524,0.3662404092071611
MEL,0.005854940853148524,0.3667519181585678
